,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps,
[2026-05-06 14:47:51.908] ,461,28.88,28.38,100550.15,261691.8,1.41,1.51,1.52,1.53,9.85,11.19,11.25,11.25,11.25,0.45,
[2026-05-06 14:47:56.916] ,459,28.89,28.29,100549.83,262698.81,1.38,1.47,1.48,1.49,9.61,10.93,10.98,10.98,10.99,0.45,
[2026-05-06 14:48:01.932] ,459,28.9,28.2,100551.62,259503.3,1.34,1.43,1.45,1.45,9.36,10.64,10.69,10.69,10.7,0.45,
[2026-05-06 14:48:06.942] ,459,28.89,28.11,100550.62,261091.28,1.28,1.37,1.39,1.4,8.97,10.19,10.24,10.25,10.25,0.45,
[2026-05-06 14:48:11.956] ,458,28.9,28.14,100552.76,258324.92,1.33,1.42,1.44,1.44,9.26,10.52,10.58,10.58,10.58,0.45,
[2026-05-06 14:48:16.969] ,459,28.87,28.24,100553.28,258716.53,1.35,1.45,1.46,1.47,9.43,10.72,10.77,10.78,10.78,0.45,
[2026-05-06 14:48:21.991] ,459,28.87,28.35,100552.41,260891.72,1.38,1.48,1.49,1.5,9.61,10.93,10.99,10.99,11,0.45,
[2026-05-06 14:48:27.005] ,457,28.87,28.42,100551.24,261291.14,1.58,1.69,1.71,1.72,10.99,12.5,12.57,12.57,12.58,0.45,
[2026-05-06 14:48:32.010] ,457,28.89,28.44,100550.41,258520.58,1.64,1.76,1.79,1.8,11.46,13.03,13.1,13.11,13.11,0.45,
[2026-05-06 14:48:37.021] ,458,28.89,28.32,100551.3,261892.58,1.53,1.64,1.67,1.68,10.67,12.14,12.21,12.21,12.21,0.45,
[2026-05-06 14:48:42.036] ,460,28.89,28.14,100551.64,262496.78,1.47,1.59,1.61,1.62,10.28,11.7,11.76,11.77,11.77,0.45,
[2026-05-06 14:48:47.053] ,458,28.89,28.04,100551.48,259503.3,1.42,1.53,1.55,1.56,9.9,11.26,11.33,11.33,11.33,0.45,
[2026-05-06 14:48:52.062] ,459,28.89,27.98,100551.81,261491.31,1.27,1.37,1.38,1.39,8.85,10.08,10.13,10.14,10.14,0.46,
[2026-05-06 14:48:57.084] ,461,28.9,27.96,100551.27,260294.86,1.29,1.38,1.4,1.41,8.96,10.2,10.26,10.26,10.26,0.45,
[2026-05-06 14:49:02.092] ,460,28.91,27.9,100550.73,262698.81,1.27,1.37,1.39,1.4,8.86,10.08,10.13,10.14,10.14,0.45,
[2026-05-06 14:49:07.106] ,460,28.91,27.83,100550.23,260891.72,1.29,1.39,1.4,1.41,8.98,10.22,10.28,10.28,10.28,0.45,
[2026-05-06 14:49:12.120] ,457,28.91,27.72,100551.07,261291.14,1.28,1.37,1.39,1.4,8.89,10.12,10.18,10.18,10.18,0.46,
[2026-05-06 14:49:17.135] ,458,28.91,27.63,100551.55,262496.78,1.37,1.47,1.49,1.5,9.54,10.86,10.92,10.93,10.93,0.46,
[2026-05-06 14:49:22.143] ,458,28.91,27.59,100551.37,260692.47,1.5,1.61,1.63,1.64,10.43,11.86,11.93,11.94,11.94,0.46,
[2026-05-06 14:49:27.157] ,458,28.9,27.73,100552.11,261091.28,1.53,1.65,1.67,1.69,10.68,12.15,12.22,12.23,12.23,0.46,
[2026-05-06 14:49:32.167] ,458,28.89,27.98,100551.03,260891.72,1.57,1.69,1.72,1.73,10.94,12.45,12.53,12.53,12.53,0.46,
[2026-05-06 14:49:37.187] ,457,28.9,28.1,100551.79,261291.14,1.63,1.75,1.78,1.79,11.34,12.91,12.98,12.99,12.99,0.46,
[2026-05-06 14:49:42.195] ,458,28.9,28.04,100551.03,259503.3,1.52,1.64,1.66,1.67,10.6,12.06,12.13,12.14,12.14,0.46,
[2026-05-06 14:49:47.210] ,458,28.89,27.89,100551.23,261691.8,1.46,1.57,1.59,1.6,10.15,11.55,11.62,11.62,11.63,0.46,
[2026-05-06 14:49:52.225] ,459,28.88,27.79,100550.75,260294.86,1.64,1.76,1.79,1.8,11.41,12.98,13.06,13.06,13.06,0.46,
[2026-05-06 14:49:57.235] ,458,28.87,27.71,100551.65,258716.53,2.05,2.21,2.24,2.25,14.29,16.26,16.35,16.36,16.36,0.46,
[2026-05-06 14:50:02.256] ,457,28.87,27.69,100549.57,261691.8,2.21,2.38,2.41,2.43,15.43,17.55,17.65,17.66,17.66,0.46,
[2026-05-06 14:50:07.269] ,453,28.87,27.67,100549.17,260692.47,2.2,2.37,2.4,2.42,15.35,17.47,17.56,17.57,17.58,0.46,
[2026-05-06 14:50:12.275] ,452,28.87,27.66,100549.7,259109.31,2.03,2.18,2.21,2.22,14.15,16.09,16.18,16.19,16.19,0.46,
[2026-05-06 14:50:17.291] ,453,28.88,27.65,100551.55,259306.16,1.96,2.1,2.13,2.14,13.64,15.52,15.6,15.61,15.61,0.47,
[2026-05-06 14:50:22.299] ,453,28.89,27.71,100550.79,258324.92,1.9,2.04,2.07,2.08,13.24,15.06,15.14,15.15,15.15,0.47,
[2026-05-06 14:50:27.315] ,452,28.87,27.76,100550.46,257351.09,1.78,1.91,1.94,1.95,12.4,14.11,14.19,14.19,14.2,0.47,
[2026-05-06 14:50:32.326] ,450,28.87,27.77,100548.96,257351.09,1.7,1.83,1.85,1.86,11.84,13.47,13.55,13.56,13.56,0.47,
[2026-05-06 14:50:37.344] ,450,28.87,27.89,100551.17,257739.75,1.56,1.68,1.71,1.72,10.91,12.41,12.48,12.49,12.49,0.47,
[2026-05-06 14:50:42.355] ,449,28.88,28.01,100550.16,254663.02,1.49,1.6,1.63,1.64,10.39,11.83,11.89,11.9,11.9,0.47,
[2026-05-06 14:50:47.365] ,451,28.88,28.04,100549.64,259503.3,1.63,1.75,1.78,1.79,11.36,12.92,13,13,13.01,0.47,
[2026-05-06 14:50:52.380] ,450,28.86,27.92,100550.41,258520.58,1.66,1.78,1.81,1.82,11.57,13.16,13.24,13.24,13.24,0.47,
